Source                   	 Tool name	 Topic                                                                                                         	 Operation                                                                                                                                                               	 Input data                                                                                                            	 Output data                                                                                	 Input format                         	 Output format
Consensus expert LLM     	 Anvi’o   	 Metagenomics, Comparative genomics, Functional genomics                                                       	 Binning refinement, Functional annotation, Taxonomic profiling, Interactive visualization, Assembly, Workflow, Genomic refining, Annotation edition, Interactive edition	 Raw sequence, Contigs, Sequence abundance profile, Functional annotations, Taxonomic profiles                         	 Bins, Visualizations, Metabolic profiles, Annotated contigs, tree, phylogenetic tree, image	 FASTQ, FASTA, BAM, TSV, JSON         	 FASTA, JSON, TSV, Newick, HTML, PNG, SVG, JPEG
Consensus expert         	 Anvi’o   	 Metagenomics, Comparative genomics, Functional genomics                                                       	 Binning, Functional annotation, Taxonomic profiling, Interactive visualization, Assembly                                                                                	 Raw sequence, Contigs, Sequence abundance profile, Functional annotations, Taxonomic profiles                         	 Bins, Visualizations, Metabolic profiles, Annotated contigs                                	 FASTQ, FASTA, BAM, TSV, JSON         	 FASTA, JSON, TSV, Newick, HTML
proposition expert 	 Anvi’o   	Metagenomics, Comparative genomics, Functional genomics	Binning, Functional annotation, Taxonomic profiling, Interactive visualization, Assembly	Raw sequence, Contigs, Sequence abundance profile, Functional annotations, Taxonomic profiles	Bins, Visualizations, Metabolic profiles, Annotated contigs	FASTQ, FASTA, BAM, TSV, JSON	FASTA, JSON, TSV, Newick, HTML
proposition DeepSeek-V3.1	 Anvi’o   	 Metagenomics, Genome binning, Visualization, Functional annotation, Taxonomic profiling                       	 Workflow management, Read recruitment, Assembly, Gene calling, Contig profiling, Binning, Interactive visualization                                                     	 Raw sequencing reads, Contigs, Aligned reads                                                                          	 Contigs database, Profile database, Genomic bins, Visualizations, Reports                  	 FASTQ, FASTA, BAM                    	 Anvi'o databases, FASTA, HTML
Consensus expert LLM     	 MEGAHIT  	 Sequence assembly, Metagenomics, Sequencing, Sequence analysis, Short reads, De novo assembly                 	 Genome assemby, Metagenomic assembly, Bruijn graph                                                                                                                      	 Sequencing reads                                                                                                      	 Contigs                                                                                    	 FASTQ, FASTA                         	 FASTA
Consensus expert         	 MEGAHIT  	 Sequence assembly, Metagenomics, Sequencing, Sequence analysis, Short reads                                   	 Genome assemby, Metagenomic assembly, Bruijn graph                                                                                                                      	 Raw sequence                                                                                                          	 Contigs                                                                                    	 FASTQ                                	 FASTA
proposition expert       	 MEGAHIT  	 Sequence assembly, Metagenomics,  DNA-seq, NGS, Sequencing, Sequence analysis, Short reads, NGS assembler                                                                               	 Assembly, Genome assemby, Metagenomic assembly, de Bruijn graph                                                                                                                                       	Raw sequence, Sequencing reads	 Contigs                                                                                    	 FASTQ                                	 FASTA
proposition expert  1     	 MEGAHIT  	 Sequence assembly, Metagenomics                                                                               	 Assembly                                                                                                                                                                	 Raw sequence                                                                                                          	 Contigs                                                                                    	 FASTQ                                	 FASTA
proposition expert 2     	 MEGAHIT  	 DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, NGS assembler                         	 Genome assemby, Metagenomic assembly, de Bruijn graph                                                                                                                   	 Sequencing reads                                                                                                      	 contigs                                                                                    	 FASTQ                                	 FASTA
proposition DeepSeek-V3.1	 MEGAHIT  	 Metagenomics, Genome assembly, De novo assembly, Succinct de Bruijn graph                                     	 Assembly, K-mer based graph construction, Iterative contig construction                                                                                                 	 Sequencing reads                                                                                                      	 Assembled contigs                                                                          	 FASTQ, FASTA                         	 FASTA
Consensus expert LLM     	 CONCOCT  	 Metagenomics, Genome reconstruction, Binning                                                                  	 Binning                                                                                                                                                                 	 Contigs, Coverage profiles                                                                                            	 Bins, Metagenome assembled Genomes MAGS                                                    	 FASTA, TSV                           	 FASTA, TSV
Consensus expert         	 CONCOCT  	 Metagenomics, Genome reconstruction, Binning                                                                  	 Binning, Contig clustering                                                                                                                                              	 Contigs, Coverage profiles                                                                                            	 Bins                                                                                       	 FASTA, TSV                           	 FASTA, TSV
proposition expert 	 CONCOCT  	Metagenomics, Genome reconstruction, Binning	Binning, Contig clustering	Contigs, Coverage profiles	Bins	FASTA, TSV	FASTA, TSV
proposition DeepSeek-V3.1	 CONCOCT  	 Metagenomics, Genome binning, Clustering                                                                      	 Clustering, Unsupervised binning, Statistical modeling (Gaussian Mixture Model), Integration of sequence composition and coverage                                       	 Contigs, Coverage profiles across multiple samples, Tetranucleotide frequencies                                       	 Genomic bins, Cluster assignments                                                          	 FASTA, TSV, CSV                      	 CSV, TSV
Consensus expert LLM     	 GTDB-Tk  	 Taxonomy, Metagenomics, Comparative genomics, Phylogenomics                                                   	 Taxonomic classification, Phylogenetic inference                                                                                                                        	 Metagenome, Genome                                                                                                    	 Taxonomic labels, Phylogenetic tree                                                        	 FASTA                                	 FASTA, TSV, Newick, JSON
Consensus expert         	 GTDB-Tk  	 Taxonomy, Metagenomics, Comparative genomics, Phylogenomics                                                   	 Taxonomic classification, Phylogenetic inference                                                                                                                        	 Metagenome                                                                                                            	 Taxonomic labels, Phylogenetic tree                                                        	 FASTA                                	 FASTA, TSV, Newick, JSON
proposition expert 	 GTDB-Tk  	Taxonomy, Metagenomics, Comparative genomics, Phylogenomics	Taxonomic classification, Phylogenetic inference	Metagenome	Taxonomic labels, Phylogenetic tree	FASTA	FASTA, TSV, Newick, JSON
proposition DeepSeek-V3.1	 GTDB-Tk  	 Taxonomy, Genome classification, Phylogenomics, Microbiology                                                  	 Taxonomic classification, Sequence alignment, Phylogenetic placement, Reference tree comparison                                                                         	 Genomic sequences                                                                                                     	 Taxonomic assignments, Multiple sequence alignments, Phylogenetic trees                    	 FASTA                                	 TSV, FASTA, Newick
Consensus expert LLM     	 MetaBAT2 	 Metagenomics, Genome reconstruction, Sequencing, Sequence analysis                                            	 Abundance and composition integration, Binning                                                                                                                          	 Contigs, Coverage profiles, Tetranucleotide frequencies                                                               	 Bins, Metagenome assembled Genomes MAGS, Abundance profiling, Co-abundance                 	 FASTA, TSV, BAM                      	 FASTA, TSV
Consensus expert         	 MetaBAT2 	 Metagenomics, Genome reconstruction, Sequencing, Sequence analysis                                            	 Binning                                                                                                                                                                 	 Contigs, Coverage profiles                                                                                            	 Bins, Metagenome assembled Genomes MAGS, Abundance profiling, Co-abundance                 	 FASTA, TSV                           	 FASTA, TSV
proposition expert       	 MetaBAT2 	 Metagenomics, Genome reconstruction, Binning, DNA-seq, NGS, Sequencing, Sequence analysis, Short reads, Contigs, Genome reconstruction                                                                 	 Binning, Contig clustering,  Genome binning/clustering, Genome reconstruction, Metagenome-Assembled genomes, Abundance profiling, Co-abundance                                                                                                                                                                                                	 Contigs, Coverage profiles                                                                                            	 Bins, Metagenome assembled Genomes MAGS                                                    	 FASTA, TSV                           	 FASTA, TSV
proposition expert   1    	 MetaBAT2 	 Metagenomics, Genome reconstruction, Binning                                                                  	 Binning, Contig clustering                                                                                                                                              	 Contigs, Coverage profiles                                                                                            	 Bins, Metagenome assembled Genomes MAGS,  contigs                                                                                                                                        	 FASTA, TSV                           	 FASTA, TSV
proposition expert 2     	 MetaBAT2 	 DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, Contigs, Genome binning/reconstruction	 Genome binning/clustering, Genome reconstruction, Metagenome-Assembled genomes, Abundance profiling, Co-abundance                                                       	 contigs                                                                                                               	 contigs                                                                                    	 FASTA                                	 FASTA
proposition DeepSeek-V3.1	 MetaBAT2 	 Metagenomics, Genome binning, Clustering                                                                      	 Binning, Abundance and composition integration, Adaptive binning algorithm, Graph-based clustering                                                                      	 Contigs, Coverage data across multiple samples, Tetranucleotide frequencies                                           	 Genomic bins, Metagenome-Assembled Genomes                                                 	 FASTA, BAM                           	 FASTA
Consensus expert LLM     	 Kraken2  	 Sequencing, Sequence analysis, Metagenomics, Taxonomic profiling                                              	 Sequence classification, Taxonomic annotation, Abundance profiling                                                                                                      	 Sequencing reads                                                                                                      	 taxonomic annotation, abundance table                                                      	 FASTQ                                	 TSV, HTML
Consensus expert         	 Kraken2  	 DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, Reference-based, Taxonomic profiling  	 Sequence classification, Taxonomic annotation, Abundance profiling, K-mer, exact matches                                                                                	 Sequencing reads                                                                                                      	 taxonomic annotation, abundance table                                                      	 FASTQ                                	 text
proposition expert       	 Kraken2  	DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, Reference-based, Taxonomic profiling	Sequence classification, Taxonomic annotation, Abundance profiling, K-mer, exact matches	Sequencing reads	taxonomic annotation, abundance table	FASTQ	text
proposition DeepSeek-V3.1	 Kraken2  	 Metagenomics, Taxonomic classification, Microbiome analysis, Phylogenetics, Viral metagenomics                	 k-mer matching, Lowest Common Ancestor (LCA) assignment, Minimizer indexing, Spaced seeds, Probabilistic hashing, Translated search                                     	 Raw sequencing reads, Nucleotide sequences, Amino acid sequences                                                      	 Taxonomic labels for reads, Classification report                                          	 FASTQ, FASTA                         	 Standard text report, BIOM, Pavian-compatible format
Consensus expert LLM     	 mOTUs    	 Sequencing, Sequence analysis, Metagenomics,Taxonomic profiling, Phylogeny                                    	 Workflow, Abundance profiling, Activity profiling, Visualization, Taxonomic annotation                                                                                  	 Sequencing reads                                                                                                      	 taxonomic annotation, abundance table                                                      	 FASTQ                                	 TSV, BAM
Consensus expert         	 mOTUs    	 DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, Taxonomic profiling                   	 Workflow, Abundance profiling, Activity profiling, Single-Copy marker genes, Phylogeny, Visualization, Taxonomic annotation                                             	 Sequencing reads                                                                                                      	 taxonomic annotation, abundance table                                                      	 FASTQ                                	 text
proposition expert       	 mOTUs    	DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, Taxonomic profiling	Workflow, Abundance/Activity profiling, Single-Copy marker genes, Phylogeny, Visualization, Taxonomic annotation	Sequencing reads	taxonomic annotation, abundance table	FASTQ	 text
proposition DeepSeek-V3.1	 mOTUs    	 Metagenomics, Metatranscriptomics, Taxonomic profiling, Species-level quantification, Marker gene analysis    	 Mapping to marker genes, Abundance estimation, Profile merging, Clustering-based species delineation                                                                    	 Raw sequencing reads, Processed profile files                                                                         	 Taxonomic abundance profile, Relative abundance table                                      	 FASTQ, FASTA                         	 Tab-delimited text, BIOM format, CAMI-compatible format
Consensus expert LLM     	 checkM2  	 Sequencing, Sequence analysis, Metagenomics, Taxonomic annotation                                             	 Genome annotation, Taxonomic annotation, Genome quality, Genome Completness, Genome Contamination                                                                       	 contigs                                                                                                               	 quality annotation, taxonomic annotation                                                   	 FASTA                                	 TSV
Consensus expert         	 checkM2  	 DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, Taxonomic annotation                  	 Genome annotation, Taxonomic annotation, Single-copy marker genes, Genome quality, Completness, Contamination                                                           	 contigs                                                                                                               	 quality and taxonomic annotation                                                           	 FASTA                                	 text
proposition expert       	 checkM2  	DNA-seq, NGS, Sequencing, Sequence analysis, Metagenomics, Short reads, Taxonomic annotation	Genome annotation, Taxonomic annotation, Single-copy marker genes, Genome quality, Completness, Contamination	contigs	quality and taxonomic annotation	FASTA	 text
proposition DeepSeek-V3.1	 checkM2  	 Metagenomics, Genome quality assessment, Binning evaluation, Completeness and contamination estimation        	 Machine learning prediction (Gradient Boost, Neural Network), Gene annotation, Protein similarity search, Model selection based on taxonomic novelty                    	 Metagenome-Assembled Genomes (MAGs), Single-Amplified Genomes (SAGs), Isolate genomes, Pre-computed protein gene files	 Genome quality metrics (completeness, contamination)                                       	 FASTA,, GZIPPED FASTA,, Protein files	 Tab-delimited report, TSV, Standard output (stdout)
